date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:16	6593/6593	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jul%202015%2010:30:35%20GMT	http://www.gpower.co/image/common/androiddl.png	./www.gpower.co/image/common/androiddl.png	(from http://www.gpower.co/like.html)
16:21:17	25134/25134	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jan%202016%2007:52:03%20GMT	http://www.gpower.co/image/like/ico_like.png	./www.gpower.co/image/like/ico_like.png	(from http://www.gpower.co/like.html)
16:21:19	35951/35951	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202015%2002:41:21%20GMT	http://www.gpower.co/js/bootstrap.min.js	./www.gpower.co/js/bootstrap.min.js	(from http://www.gpower.co/like.html)
16:21:21	4317/4317	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202015%2002:42:01%20GMT	http://www.gpower.co/js/plugin/headroom.min.js	./www.gpower.co/js/plugin/headroom.min.js	(from http://www.gpower.co/like.html)
16:21:23	95957/95957	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202015%2002:41:31%20GMT	http://www.gpower.co/js/jquery-1.11.3.min.js	./www.gpower.co/js/jquery-1.11.3.min.js	(from http://www.gpower.co/like.html)
16:21:25	53998/53998	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202015%2002:42:00%20GMT	http://www.gpower.co/js/plugin/swiper.jquery.min.js	./www.gpower.co/js/plugin/swiper.jquery.min.js	(from http://www.gpower.co/like.html)
16:21:25	10391/10391	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202015%2002:43:00%20GMT	http://www.gpower.co/js/plugin/jquery.nanoscroller.min.js	./www.gpower.co/js/plugin/jquery.nanoscroller.min.js	(from http://www.gpower.co/like.html)
16:21:25	418/418	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Apr%202016%2008:21:25%20GMT	http://www.gpower.co/fonts/glyphicons-halflings-regular.eot	./www.gpower.co/fonts/glyphicons-halflings-regular.eot	(from http://www.gpower.co/css/bootstrap.min.css)
16:21:26	418/418	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Apr%202016%2008:21:25%20GMT	http://www.gpower.co/fonts/glyphicons-halflings-regular.eot?	./www.gpower.co/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.gpower.co/css/bootstrap.min.css)
16:21:26	420/420	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Apr%202016%2008:21:26%20GMT	http://www.gpower.co/fonts/glyphicons-halflings-regular.woff2	./www.gpower.co/fonts/glyphicons-halflings-regular.woff2	(from http://www.gpower.co/css/bootstrap.min.css)
16:21:26	419/419	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Apr%202016%2008:21:26%20GMT	http://www.gpower.co/fonts/glyphicons-halflings-regular.woff	./www.gpower.co/fonts/glyphicons-halflings-regular.woff	(from http://www.gpower.co/css/bootstrap.min.css)
16:21:27	418/418	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Apr%202016%2008:21:26%20GMT	http://www.gpower.co/fonts/glyphicons-halflings-regular.ttf	./www.gpower.co/fonts/glyphicons-halflings-regular.ttf	(from http://www.gpower.co/css/bootstrap.min.css)
16:21:27	418/418	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Apr%202016%2008:21:27%20GMT	http://www.gpower.co/fonts/glyphicons-halflings-regular.svg	./www.gpower.co/fonts/glyphicons-halflings-regular.svg	(from http://www.gpower.co/css/bootstrap.min.css)
16:21:33	37405/37405	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2001%20Jul%202015%2002:45:24%20GMT	http://www.gpower.co/font/fontawesome-webfont.eot?v=3.2.1	./www.gpower.co/font/fontawesome-webfontf77b.eot	(from http://www.gpower.co/css/font-awesome.css)
16:21:34	37405/37405	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2001%20Jul%202015%2002:45:24%20GMT	http://www.gpower.co/font/fontawesome-webfont.eot?	./www.gpower.co/font/fontawesome-webfontd41d.eot	(from http://www.gpower.co/css/font-awesome.css)
16:21:41	43572/43572	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202015%2002:45:34%20GMT	http://www.gpower.co/font/fontawesome-webfont.woff?v=3.2.1	./www.gpower.co/font/fontawesome-webfontf77b.woff	(from http://www.gpower.co/css/font-awesome.css)
16:21:43	340940/340940	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jul%202015%2002:55:44%20GMT	http://www.gpower.co/image/gp/bg.jpg	./www.gpower.co/image/gp/bg.jpg	(from http://www.gpower.co/like.html)
16:21:44	79076/79076	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202015%2002:45:28%20GMT	http://www.gpower.co/font/fontawesome-webfont.ttf?v=3.2.1	./www.gpower.co/font/fontawesome-webfontf77b.ttf	(from http://www.gpower.co/css/font-awesome.css)
16:21:45	197829/197829	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Jul%202015%2002:45:36%20GMT	http://www.gpower.co/font/fontawesome-webfont.svg	./www.gpower.co/font/fontawesome-webfont.svg	(from http://www.gpower.co/css/font-awesome.css)
16:21:46	3593/3593	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jul%202015%2009:13:08%20GMT	http://www.gpower.co/image/gp/bg_app_11.jpg	./www.gpower.co/image/gp/bg_app_11.jpg	(from http://www.gpower.co/)
16:21:47	5194/5194	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jul%202015%2009:13:09%20GMT	http://www.gpower.co/image/gp/bg_app_2.jpg	./www.gpower.co/image/gp/bg_app_2.jpg	(from http://www.gpower.co/)
16:21:47	2469/2469	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jul%202015%2009:13:08%20GMT	http://www.gpower.co/image/gp/bg_app_21.jpg	./www.gpower.co/image/gp/bg_app_21.jpg	(from http://www.gpower.co/)
16:21:47	241074/241074	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jan%202016%2007:51:00%20GMT	http://www.gpower.co/image/like/dvc_like.png	./www.gpower.co/image/like/dvc_like.png	(from http://www.gpower.co/like.html)
